Characteristics ,Code,Text
eco_2018,DP03_0011E,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force
eco_2018,DP03_0011M,Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force
eco_2018,DP03_0011PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force
eco_2018,DP03_0011PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force
eco_2018,DP03_0012E,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0012M,Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0012PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0012PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0013E,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0013M,Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0013PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0013PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0014E,Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years
eco_2018,DP03_0014M,Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder under 6 years
eco_2018,DP03_0014PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years
eco_2018,DP03_0014PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder under 6 years
eco_2018,DP03_0015E,Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force
eco_2018,DP03_0015M,Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force
eco_2018,DP03_0015PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force
eco_2018,DP03_0015PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force
eco_2018,DP03_0016E,Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years
eco_2018,DP03_0016M,Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years
eco_2018,DP03_0016PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years
eco_2018,DP03_0016PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years
eco_2018,DP03_0017E,Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force
eco_2018,DP03_0017M,Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force
eco_2018,DP03_0017PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force
eco_2018,DP03_0017PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force
eco_2018,DP03_0018E,Estimate!!COMMUTING TO WORK!!Workers 16 years and over
eco_2018,DP03_0018M,Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over
eco_2018,DP03_0018PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over
eco_2018,DP03_0018PM,Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over
eco_2018,DP03_0019E,"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
eco_2018,DP03_0019M,"Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
eco_2018,DP03_0019PE,"Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
eco_2018,DP03_0019PM,"Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
eco_2018,DP03_0020E,"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
eco_2018,DP03_0020M,"Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
eco_2018,DP03_0020PE,"Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
eco_2018,DP03_0020PM,"Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
eco_2018,DP03_0021E,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)
eco_2018,DP03_0021M,Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)
eco_2018,DP03_0021PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)
eco_2018,DP03_0021PM,Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)
eco_2018,DP03_0022E,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked
eco_2018,DP03_0022M,Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Walked
eco_2018,DP03_0022PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked
eco_2018,DP03_0022PM,Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Walked
eco_2018,DP03_0023E,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means
eco_2018,DP03_0023M,Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Other means
eco_2018,DP03_0023PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means
eco_2018,DP03_0023PM,Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Other means
eco_2018,DP03_0024E,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
eco_2018,DP03_0024M,Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
eco_2018,DP03_0024PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
eco_2018,DP03_0024PM,Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
eco_2018,DP03_0025E,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
eco_2018,DP03_0025M,Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
eco_2018,DP03_0025PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
eco_2018,DP03_0025PM,Percent Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
eco_2018,DP03_0026E,Estimate!!OCCUPATION!!Civilian employed population 16 years and over
eco_2018,DP03_0026M,Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over
eco_2018,DP03_0026PE,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over
eco_2018,DP03_0026PM,Percent Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over
eco_2018,DP03_0027E,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations"
eco_2018,DP03_0027M,"Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations"
eco_2018,DP03_0027PE,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations"
eco_2018,DP03_0027PM,"Percent Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations"
eco_2018,DP03_0028E,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations
eco_2018,DP03_0028M,Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations
eco_2018,DP03_0028PE,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations
eco_2018,DP03_0028PM,Percent Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations
eco_2018,DP03_0029E,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations
eco_2018,DP03_0029M,Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations
eco_2018,DP03_0029PE,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations
eco_2018,DP03_0029PM,Percent Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations
eco_2018,DP03_0030E,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations"
eco_2018,DP03_0030M,"Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations"
eco_2018,DP03_0030PE,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations"
eco_2018,DP03_0030PM,"Percent Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations"
eco_2018,DP03_0031E,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
eco_2018,DP03_0031M,"Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
eco_2018,DP03_0031PE,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
eco_2018,DP03_0031PM,"Percent Margin of Error!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
eco_2018,DP03_0032E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over
eco_2018,DP03_0032M,Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over
eco_2018,DP03_0032PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over
eco_2018,DP03_0032PM,Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over
eco_2018,DP03_0033E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
eco_2018,DP03_0033M,"Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
eco_2018,DP03_0033PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
eco_2018,DP03_0033PM,"Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
eco_2018,DP03_0034E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction
eco_2018,DP03_0034M,Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Construction
eco_2018,DP03_0034PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction
eco_2018,DP03_0034PM,Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Construction
eco_2018,DP03_0035E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing
eco_2018,DP03_0035M,Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing
eco_2018,DP03_0035PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing
eco_2018,DP03_0035PM,Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing
eco_2018,DP03_0036E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade
eco_2018,DP03_0036M,Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade
eco_2018,DP03_0036PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade
eco_2018,DP03_0036PM,Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade
eco_2018,DP03_0037E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade
eco_2018,DP03_0037M,Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade
eco_2018,DP03_0037PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade
eco_2018,DP03_0037PM,Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade
eco_2018,DP03_0038E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
eco_2018,DP03_0038M,"Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
eco_2018,DP03_0038PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
eco_2018,DP03_0038PM,"Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
eco_2018,DP03_0039E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information
eco_2018,DP03_0039M,Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Information
eco_2018,DP03_0039PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information
eco_2018,DP03_0039PM,Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Information
eco_2018,DP03_0040E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
eco_2018,DP03_0040M,"Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
eco_2018,DP03_0040PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
eco_2018,DP03_0040PM,"Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
eco_2018,DP03_0041E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
eco_2018,DP03_0041M,"Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
eco_2018,DP03_0041PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
eco_2018,DP03_0041PM,"Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
eco_2018,DP03_0042E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
eco_2018,DP03_0042M,"Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
eco_2018,DP03_0042PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
eco_2018,DP03_0042PM,"Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
eco_2018,DP03_0043E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
eco_2018,DP03_0043M,"Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
eco_2018,DP03_0043PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
eco_2018,DP03_0043PM,"Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
eco_2018,DP03_0044E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration"
eco_2018,DP03_0044M,"Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration"
eco_2018,DP03_0044PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration"
eco_2018,DP03_0044PM,"Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration"
eco_2018,DP03_0045E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration
eco_2018,DP03_0045M,Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration
eco_2018,DP03_0045PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration
eco_2018,DP03_0045PM,Percent Margin of Error!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration
eco_2018,DP03_0046E,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over
eco_2018,DP03_0046M,Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over
eco_2018,DP03_0046PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over
eco_2018,DP03_0046PM,Percent Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over
eco_2018,DP03_0047E,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers
eco_2018,DP03_0047M,Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers
eco_2018,DP03_0047PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers
eco_2018,DP03_0047PM,Percent Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers
eco_2018,DP03_0048E,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers
eco_2018,DP03_0048M,Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers
eco_2018,DP03_0048PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers
eco_2018,DP03_0048PM,Percent Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers
eco_2018,DP03_0049E,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers
eco_2018,DP03_0049M,Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers
eco_2018,DP03_0049PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers
eco_2018,DP03_0049PM,Percent Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers
eco_2018,DP03_0050E,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
eco_2018,DP03_0050M,Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
eco_2018,DP03_0050PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
eco_2018,DP03_0050PM,Percent Margin of Error!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
eco_2018,DP03_0051E,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households
eco_2018,DP03_0051M,Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households
eco_2018,DP03_0051PE,Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households
eco_2018,DP03_0051PM,Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households
eco_2018,DP03_0052E,"Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000"
eco_2018,DP03_0052M,"Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000"
eco_2018,DP03_0052PE,"Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000"
eco_2018,DP03_0052PM,"Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000"
eco_2018,DP03_0053E,"Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999"
eco_2018,DP03_0053M,"Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999"
eco_2018,DP03_0053PE,"Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999"
eco_2018,DP03_0053PM,"Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999"
eco_2018,DP03_0054E,"Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999"
eco_2018,DP03_0054M,"Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999"
eco_2018,DP03_0054PE,"Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999"
eco_2018,DP03_0054PM,"Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999"
eco_2018,DP03_0055E,"Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999"
eco_2018,DP03_0055M,"Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999"
eco_2018,DP03_0055PE,"Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999"
eco_2018,DP03_0055PM,"Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999"
eco_2018,DP03_0056E,"Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999"
eco_2018,DP03_0056M,"Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999"
eco_2018,DP03_0056PE,"Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999"
eco_2018,DP03_0056PM,"Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999"
eco_2018,DP03_0057E,"Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999"
eco_2018,DP03_0057M,"Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999"
eco_2018,DP03_0057PE,"Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999"
eco_2018,DP03_0057PM,"Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999"
eco_2018,DP03_0058E,"Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999"
