Location,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Sweden-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.9459101490553132,2.0794415416798357,2.3978952727983707,2.4849066497880004,2.833213344056216,3.044522437723423,3.091042453358316,3.258096538021482,3.6109179126442243,4.143134726391533,4.356708826689592,4.663439094112067,4.663439094112067,4.709530201312334,4.990432586778736,5.198497031265826
US-California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.791759469228055,1.9459101490553132,2.0794415416798357,2.5649493574615367,2.6390573296152584,2.9444389791664403,3.1780538303479458,3.2188758248682006,3.4339872044851463,3.6888794541139363,3.9318256327243257,4.189654742026425,4.406719247264253,4.553876891600541,4.709530201312334,4.8283137373023015,4.990432586778736,5.159055299214529
Korea South-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.9459101490553132,2.1972245773362196,2.3978952727983707,2.5649493574615367,2.6390573296152584,2.6390573296152584,2.833213344056216,2.8903717578961645,3.367295829986474,3.367295829986474,3.58351893845611,3.58351893845611,3.7612001156935624,3.8066624897703196,3.9318256327243257,3.9889840465642745,4.007333185232471,4.110873864173311,4.204692619390966,4.204692619390966,4.290459441148391,4.330733340286331,4.330733340286331,4.406719247264253,4.442651256490317,4.5217885770490405,4.553876891600541,4.634728988229636,4.718498871295094,4.718498871295094,4.795790545596741,4.844187086458591,4.882801922586371,4.941642422609304,4.976733742420574,5.030437921392435,5.0689042022202315,5.093750200806762
Portugal-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.9459101490553132,2.5649493574615367,2.70805020110221,3.1780538303479458,3.5263605246161616,3.784189633918261,4.110873864173311,4.343805421853684,4.61512051684126,4.787491742782046,4.948759890378168,5.081404364984463
Indonesia-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.791759469228055,1.791759469228055,1.791759469228055,1.791759469228055,2.995732273553991,3.258096538021482,3.4965075614664802,3.6635616461296463,3.8918202981106265,3.912023005428146,4.02535169073515,4.07753744390572,4.3694478524670215,4.477336814478207,4.634728988229636,4.74493212836325,4.812184355372417,4.919980925828125
Austria-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.9459101490553132,1.9459101490553132,2.1972245773362196,2.833213344056216,3.091042453358316,3.367295829986474,3.4339872044851463,3.912023005428146,4.07753744390572,4.23410650459726,4.465908118654584,4.6913478822291435,4.859812404361672
US-Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,2.3978952727983707,2.6390573296152584,2.70805020110221,3.258096538021482,3.258096538021482,3.4965075614664802,3.713572066704308,3.8918202981106265,4.174387269895637,4.248495242049359,4.394449154672439,4.477336814478207,4.718498871295094
US-Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.791759469228055,1.9459101490553132,2.302585092994046,2.5649493574615367,2.833213344056216,2.995732273553991,3.295836866004329,3.5553480614894135,3.871201010907891,4.204692619390966,4.30406509320417,4.605170185988092
Denmark-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.9459101490553132,2.302585092994046,2.6390573296152584,2.6390573296152584,3.2188758248682006,3.4965075614664802,3.5553480614894135,3.7376696182833684,3.970291913552122,4.189654742026425,4.290459441148391,4.356708826689592,4.51085950651685
US-Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.791759469228055,2.302585092994046,2.4849066497880004,2.772588722239781,3.258096538021482,3.58351893845611,3.8066624897703196,3.8918202981106265,4.04305126783455,4.499809670330265
Philippines-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.791759469228055,2.1972245773362196,2.4849066497880004,2.5649493574615367,2.5649493574615367,2.995732273553991,2.995732273553991,2.995732273553991,2.995732273553991,3.258096538021482,3.5263605246161616,3.58351893845611,3.6635616461296463,3.828641396489095,4.007333185232471,4.23410650459726,4.276666119016055,4.3694478524670215,4.48863636973214
US-Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.791759469228055,1.9459101490553132,2.0794415416798357,2.302585092994046,2.3978952727983707,2.6390573296152584,2.6390573296152584,2.9444389791664403,2.9444389791664403,3.1780538303479458,3.4011973816621555,3.58351893845611,4.007333185232471,4.04305126783455,4.1588830833596715,4.454347296253507
Romania-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.0794415416798357,2.4849066497880004,2.8903717578961645,3.1780538303479458,3.295836866004329,3.6375861597263857,3.784189633918261,4.189654742026425,4.418840607796598
Ecuador-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.791759469228055,2.0794415416798357,2.70805020110221,2.9444389791664403,3.332204510175204,3.367295829986474,3.5553480614894135,3.6109179126442243,3.8918202981106265,4.07753744390572,4.110873864173311,4.330733340286331
Ireland-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.9459101490553132,2.0794415416798357,2.302585092994046,2.995732273553991,3.1354942159291497,3.6109179126442243,3.8501476017100584,4.007333185232471,4.276666119016055
