Geo#Country#Contintent,ConfirmedCases,Fatalities,LogConfirmed,LogFatalities,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Azerbaijan-#Azerbaijan#Asia,298.0,5.0,5.700443573390687,1.791759469228055,0.0,0.439,0.0,0.182,0.201,0.101,0.187,0.066,0.269,0.3,0.097,0.138,0.266,0.087,
Bahamas-#Bahamas#Americas,14.0,0.0,2.70805020110221,0.0,0.0,0.693,0.0,0.223,0.0,0.0,0.182,0.0,0.511,0.095,0.0,0.087,0.223,0.0,
Bahrain-#Bahrain#Asia,567.0,4.0,6.342121418721152,1.6094379124341003,0.115,0.082,0.025,0.068,0.091,0.121,0.039,0.066,0.089,0.017,0.021,0.047,0.031,0.096,
Bangladesh-#Bangladesh#Asia,51.0,5.0,3.9512437185814275,1.791759469228055,0.31,0.182,0.154,0.214,0.074,0.194,0.163,0.0,0.118,0.085,0.0,0.0,0.02,0.039,
Barbados-#Barbados#Americas,34.0,0.0,3.5553480614894135,0.0,0.0,0.693,0.0,0.154,0.762,0.182,0.054,0.0,0.0,0.274,0.077,0.231,0.0,0.029,
Belarus-#Belarus#Europe,152.0,1.0,5.030437921392435,0.6931471805599453,0.34,0.0,0.297,0.095,0.0,0.063,0.0,0.059,0.0,0.088,0.0,0.0,0.477,0.0,
Belgium-#Belgium#Europe,12775.0,705.0,9.455323689894849,6.559615237493242,0.178,0.189,0.229,0.221,0.189,0.096,0.131,0.145,0.233,0.155,0.226,0.171,0.094,0.071,
Belize-#Belize#Americas,3.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.0,0.405,0.0,0.0,0.0,0.0,0.288,0.0,
Benin-#Benin#Africa,9.0,0.0,2.302585092994046,0.0,0.405,0.0,0.0,0.0,0.0,0.693,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.357,
Bhutan-#Bhutan#Asia,4.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.223,0.0,0.0,
Bolivia-#Bolivia#Americas,107.0,6.0,4.68213122712422,1.9459101490553132,0.08,0.0,0.208,0.223,0.223,0.113,0.069,0.095,0.288,0.343,0.19,0.089,0.178,0.097,
Bosnia and Herzegovina-#Bosnia and Herzegovina#Europe,420.0,13.0,6.042632833682381,2.6390573296152584,0.368,0.495,0.341,0.043,0.301,0.076,0.198,0.058,0.081,0.215,0.085,0.224,0.13,0.132,
Brazil-#Brazil#Americas,5717.0,201.0,8.651374372882257,5.308267697401205,0.147,0.511,0.244,0.252,0.415,0.219,0.155,0.128,0.156,0.135,0.133,0.086,0.073,0.222,
Brunei-#Brunei#Asia,129.0,1.0,4.867534450455582,0.6931471805599453,0.191,0.097,0.039,0.061,0.058,0.033,0.132,0.047,0.044,0.009,0.042,0.048,0.008,0.016,
Bulgaria-#Bulgaria#Europe,399.0,8.0,5.991464547107982,2.1972245773362196,0.313,0.021,0.298,0.248,0.137,0.072,0.081,0.104,0.087,0.104,0.122,0.044,0.037,0.105,
Burkina Faso-#Burkina Faso#Africa,261.0,14.0,5.568344503761097,2.70805020110221,0.272,0.482,0.187,0.461,0.156,0.274,0.14,0.246,0.04,0.168,0.139,0.07,0.102,0.059,
Cabo Verde-#Cabo Verde#Africa,6.0,1.0,1.9459101490553132,0.6931471805599453,0.0,0.0,0.693,0.693,0.0,0.0,0.0,0.223,0.0,0.182,0.0,0.154,0.0,0.0,
Cambodia-#Cambodia#Asia,109.0,0.0,4.700480365792417,0.0,0.057,0.054,0.314,0.038,0.454,0.035,0.044,0.053,0.0,0.03,0.0,0.039,0.038,0.018,
Cameroon-#Cameroon#Africa,193.0,6.0,5.267858159063328,1.9459101490553132,0.0,0.241,0.405,0.288,0.381,0.329,0.162,0.126,0.0,0.191,0.0,0.42,0.0,0.326,
Canada-Alberta#Canada#Americas,690.0,8.0,6.53813982376767,2.1972245773362196,0.267,0.203,0.203,0.288,0.283,0.15,0.176,0.0,0.302,0.109,0.0,0.136,0.062,0.043,
Canada-British Columbia#Canada#Americas,1013.0,24.0,6.921658184151129,3.2188758248682006,0.587,0.216,0.159,0.446,0.0,0.107,0.267,0.0,0.161,0.0,0.198,0.0,0.093,0.043,
Canada-Manitoba#Canada#Americas,103.0,1.0,4.6443908991413725,0.6931471805599453,0.575,0.118,0.0,0.054,0.1,0.0,0.047,0.492,0.027,0.078,0.486,0.116,0.284,0.07,
Canada-New Brunswick#Canada#Americas,70.0,0.0,4.2626798770413155,0.0,0.288,0.0,0.0,0.405,0.0,0.0,0.054,0.0,0.582,0.302,0.123,0.253,0.029,0.029,
Canada-Newfoundland and Labrador#Canada#Americas,152.0,1.0,5.030437921392435,0.6931471805599453,0.0,0.0,0.223,0.336,0.357,0.916,0.365,0.0,0.835,0.216,0.161,0.117,0.091,0.026,
Canada-Nova Scotia#Canada#Americas,147.0,0.0,4.997212273764115,0.0,0.486,0.143,0.065,0.318,0.276,0.37,0.214,0.283,0.07,0.207,0.199,0.103,0.04,0.145,
Canada-Ontario#Canada#Americas,1966.0,33.0,7.584264818389059,3.5263605246161616,0.177,0.15,0.18,0.202,0.12,0.168,0.156,0.157,0.221,0.147,0.14,0.169,0.23,0.142,
Canada-Prince Edward Island#Canada#Americas,21.0,0.0,3.091042453358316,0.0,0.0,0.405,0.0,0.0,0.288,0.0,0.0,0.405,0.0,0.511,0.182,0.0,0.46,0.147,
Canada-Quebec#Canada#Americas,4162.0,31.0,8.333991247194975,3.4657359027997265,0.236,0.25,0.138,0.262,0.19,1.051,0.478,0.281,0.196,0.215,0.21,0.128,0.189,0.193,
Canada-Saskatchewan#Canada#Americas,184.0,2.0,5.220355825078324,1.0986122886681098,0.118,0.636,0.211,0.251,0.674,0.234,0.086,0.0,0.274,0.0,0.341,0.151,0.0,0.164,
Central African Republic-#Central African Republic#Africa,3.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chad-#Chad#Africa,7.0,0.0,2.0794415416798357,0.0,0.0,0.693,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.0,0.0,0.0,0.405,0.288,
Chile-#Chile#Americas,2738.0,12.0,7.915348169263078,2.5649493574615367,0.168,0.0,0.599,0.213,0.163,0.166,0.212,0.214,0.134,0.209,0.17,0.114,0.135,0.112,
China-Anhui#China#Asia,990.0,6.0,6.898714534329988,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Beijing#China#Asia,580.0,8.0,6.364750756851911,2.1972245773362196,0.028,0.023,0.023,0.026,0.035,0.028,0.038,0.005,0.009,0.005,0.007,0.007,0.0,0.005,
China-Chongqing#China#Asia,579.0,6.0,6.363028103540465,1.9459101490553132,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,
China-Fujian#China#Asia,343.0,1.0,5.840641657373398,0.6931471805599453,0.0,0.0,0.01,0.013,0.032,0.0,0.016,0.012,0.018,0.009,0.018,0.003,0.006,0.009,
China-Gansu#China#Asia,138.0,2.0,4.9344739331306915,1.0986122886681098,0.0,0.007,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,
China-Guangdong#China#Asia,1494.0,8.0,7.3098814858247865,2.1972245773362196,0.004,0.006,0.012,0.004,0.009,0.001,0.009,0.003,0.01,0.006,0.008,0.005,0.006,0.007,
China-Guangxi#China#Asia,254.0,2.0,5.541263545158426,1.0986122886681098,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Guizhou#China#Asia,147.0,2.0,4.997212273764115,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Hainan#China#Asia,168.0,6.0,5.1298987149230735,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Hebei#China#Asia,321.0,6.0,5.7745515455444085,1.9459101490553132,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,
China-Heilongjiang#China#Asia,484.0,13.0,6.184148890937483,2.6390573296152584,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Henan#China#Asia,1276.0,22.0,7.152268856032539,3.1354942159291497,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,
China-Hong Kong#China#Asia,714.0,4.0,6.5722825426940075,1.6094379124341003,0.11,0.138,0.207,0.064,0.149,0.116,0.081,0.06,0.1,0.136,0.078,0.133,0.062,0.046,
China-Hubei#China#Asia,67801.0,3187.0,11.124346972018488,8.067149039910106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Hunan#China#Asia,1018.0,4.0,6.926577033222725,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Inner Mongolia#China#Asia,107.0,1.0,4.68213122712422,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.143,0.033,0.021,0.01,0.021,0.097,
China-Jiangsu#China#Asia,646.0,0.0,6.472346294500901,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.005,0.003,0.003,0.002,0.0,0.005,0.002,0.002,
China-Jiangxi#China#Asia,937.0,1.0,6.843749949006225,0.6931471805599453,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,
China-Jilin#China#Asia,98.0,1.0,4.59511985013459,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.01,0.0,0.021,0.01,0.0,0.0,
China-Liaoning#China#Asia,139.0,2.0,4.941642422609304,1.0986122886681098,0.0,0.0,0.008,0.0,0.008,0.0,0.0,0.0,0.008,0.0,0.031,0.015,0.015,0.022,
China-Macau#China#Asia,41.0,0.0,3.7376696182833684,0.0,0.208,0.118,0.0,0.054,0.274,0.0,0.039,0.176,0.032,0.061,0.111,0.0,0.026,0.074,
China-Ningxia#China#Asia,75.0,0.0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Qinghai#China#Asia,18.0,0.0,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Shaanxi#China#Asia,253.0,3.0,5.537334267018537,1.3862943611198906,0.0,0.0,0.004,0.004,0.0,0.0,0.004,0.004,0.012,0.0,0.0,0.0,0.0,0.0,
China-Shandong#China#Asia,774.0,7.0,6.652863029353347,2.0794415416798357,0.0,0.0,0.001,0.003,0.004,0.001,0.0,0.001,0.003,0.001,0.0,0.0,0.001,0.001,
China-Shanghai#China#Asia,509.0,5.0,6.234410725718371,1.791759469228055,0.008,0.006,0.022,0.024,0.061,0.0,0.024,0.045,0.041,0.037,0.036,0.014,0.012,0.022,
China-Shanxi#China#Asia,136.0,0.0,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,
China-Sichuan#China#Asia,550.0,3.0,6.311734809152915,1.3862943611198906,0.0,0.0,0.002,0.002,0.002,0.0,0.004,0.004,0.0,0.002,0.0,0.004,0.0,0.0,
China-Tianjin#China#Asia,174.0,3.0,5.1647859739235145,1.3862943611198906,0.0,0.007,0.0,0.0,0.0,0.029,0.028,0.0,0.04,0.026,0.038,0.03,0.047,0.0,
China-Tibet#China#Asia,1.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Xinjiang#China#Asia,76.0,3.0,4.343805421853684,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
China-Yunnan#China#Asia,182.0,2.0,5.209486152841421,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.011,
China-Zhejiang#China#Asia,1257.0,1.0,7.1372784372603855,0.6931471805599453,0.0,0.001,0.001,0.002,0.002,0.0,0.002,0.001,0.002,0.003,0.003,0.002,0.001,0.002,
Colombia-#Colombia#Americas,906.0,16.0,6.810142450115136,2.833213344056216,0.354,0.091,0.225,0.423,0.164,0.181,0.31,0.217,0.044,0.093,0.12,0.144,0.128,0.127,
Congo (Brazzaville)-#Congo (Brazzaville)#Africa,19.0,0.0,2.995732273553991,0.0,0.0,0.693,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.0,1.386,0.0,0.0,
Congo (Kinshasa)-#Congo (Kinshasa)#Africa,98.0,8.0,4.59511985013459,2.1972245773362196,0.223,1.099,0.236,0.234,0.256,0.177,0.218,0.063,0.059,0.0,0.238,0.0,0.217,0.188,
Costa Rica-#Costa Rica#Americas,347.0,2.0,5.8522024797744745,1.0986122886681098,0.194,0.317,0.251,0.271,0.135,0.164,0.113,0.126,0.138,0.129,0.114,0.062,0.05,0.05,
Cote d'Ivoire-#Cote d'Ivoire#Africa,179.0,1.0,5.19295685089021,0.6931471805599453,0.154,0.357,0.0,0.405,0.0,0.55,1.046,0.09,0.18,0.05,0.0,0.487,0.018,0.063,
Croatia-#Croatia#Europe,867.0,6.0,6.7661917146603505,1.9459101490553132,0.217,0.257,0.196,0.473,0.209,0.214,0.192,0.146,0.113,0.168,0.114,0.082,0.102,0.093,
Cuba-#Cuba#Americas,186.0,6.0,5.231108616854587,1.9459101490553132,0.288,0.405,0.348,0.258,0.492,0.13,0.178,0.169,0.159,0.175,0.393,0.154,0.2,0.089,
Cyprus-#Cyprus#Asia,262.0,8.0,5.572154032177765,2.1972245773362196,0.062,0.307,0.0,0.223,0.122,0.198,0.066,0.062,0.1,0.103,0.099,0.178,0.072,0.13,
Czechia-#Czechia#Europe,3308.0,31.0,8.104401307921613,3.4657359027997265,0.158,0.402,0.182,0.178,0.118,0.098,0.12,0.171,0.152,0.169,0.144,0.068,0.063,0.097,
Denmark-#Denmark#Europe,2860.0,90.0,7.95892649305011,4.51085950651685,0.079,0.085,0.086,0.055,0.051,0.039,0.093,0.08,0.085,0.086,0.073,0.084,0.073,0.104,
Denmark-Faroe Islands#Denmark#Europe,169.0,0.0,5.135798437050262,0.0,0.206,0.213,0.104,0.138,0.221,0.026,0.033,0.078,0.058,0.028,0.073,0.025,0.055,0.006,
Denmark-Greenland#Denmark#Europe,10.0,0.0,2.3978952727983707,0.0,0.0,0.405,0.0,0.0,0.511,0.0,0.182,0.154,0.0,0.452,0.0,0.0,0.0,0.0,
Diamond Princess-#Diamond Princess##N/A,712.0,10.0,6.569481420414296,2.3978952727983707,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Djibouti-#Djibouti#Africa,30.0,0.0,3.4339872044851463,0.0,0.693,0.0,0.0,0.0,0.0,0.693,0.0,1.099,0.0,0.08,0.143,0.236,0.0,0.49,
Dominica-#Dominica#Americas,12.0,0.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.693,0.405,0.0,0.981,0.405,0.0,0.0,0.0,0.0,0.08,
Dominican Republic-#Dominican Republic#Americas,1109.0,51.0,7.01211529430638,3.9512437185814275,0.0,0.464,0.735,0.437,0.586,0.192,0.241,0.228,0.219,0.174,0.213,0.178,0.048,0.208,
Ecuador-#Ecuador#Americas,2240.0,75.0,7.714677473800927,4.330733340286331,0.641,0.58,0.61,0.32,0.444,0.218,0.098,0.081,0.179,0.128,0.134,0.054,0.02,0.132,
Egypt-#Egypt#Africa,710.0,46.0,6.566672429803241,3.8501476017100584,0.0,0.266,0.107,0.031,0.106,0.112,0.094,0.126,0.082,0.079,0.072,0.056,0.074,0.079,
El Salvador-#El Salvador#Americas,32.0,1.0,3.4965075614664802,0.6931471805599453,0.0,0.693,0.0,0.693,0.0,0.0,0.405,0.511,0.336,0.0,0.357,0.223,0.215,0.063,
Equatorial Guinea-#Equatorial Guinea#Africa,12.0,0.0,2.5649493574615367,0.0,0.916,0.336,0.0,0.0,0.0,0.357,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,
Eritrea-#Eritrea#Africa,15.0,0.0,2.772588722239781,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.0,0.916,0.336,0.0,0.0,0.619,0.0,0.208,
Estonia-#Estonia#Europe,745.0,4.0,6.61472560020376,1.6094379124341003,0.136,0.034,0.058,0.078,0.063,0.077,0.047,0.09,0.286,0.066,0.115,0.051,0.052,0.041,
Eswatini-#Eswatini#Africa,9.0,0.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.916,0.0,0.0,0.0,0.336,0.357,0.0,0.0,0.0,0.0,
Ethiopia-#Ethiopia#Africa,26.0,0.0,3.295836866004329,0.0,0.154,0.0,0.357,0.0,0.182,0.0,0.08,0.0,0.0,0.268,0.0,0.258,0.087,0.118,
Fiji-#Fiji#Oceania,5.0,0.0,1.791759469228055,0.0,0.0,0.693,0.0,0.0,0.405,0.288,0.223,0.182,0.0,0.0,0.0,0.0,0.0,0.0,
Finland-#Finland#Europe,1418.0,17.0,7.257707677160043,2.8903717578961645,0.046,0.174,0.118,0.15,0.179,0.112,0.123,0.105,0.085,0.083,0.114,0.061,0.086,0.048,
France-#France#Europe,52128.0,3523.0,10.861476694765958,8.16735198705607,0.167,0.184,0.149,0.124,0.115,0.215,0.116,0.123,0.144,0.123,0.131,0.067,0.103,0.157,
France-French Guiana#France#Europe,43.0,0.0,3.784189633918261,0.0,0.0,0.0,0.288,0.172,0.0,0.1,0.134,0.189,0.0,0.0,0.0,0.0,0.417,0.0,
France-French Polynesia#France#Europe,36.0,0.0,3.6109179126442243,0.0,0.0,0.56,0.539,0.288,0.172,0.0,0.314,0.0,0.176,0.0,0.0,0.0,0.177,0.0,
France-Guadeloupe#France#Europe,114.0,4.0,4.74493212836325,1.6094379124341003,0.388,0.194,0.302,0.16,0.089,0.066,0.0,0.161,0.0,0.0,0.331,0.038,0.0,0.072,
France-Martinique#France#Europe,128.0,3.0,4.859812404361672,1.3862943611198906,0.163,0.182,0.318,0.0,0.31,0.182,0.071,0.144,0.0,0.202,0.137,0.0,0.0,0.317,
France-Mayotte#France#Europe,94.0,1.0,4.553876891600541,0.6931471805599453,0.693,0.0,0.56,0.134,0.405,0.734,0.392,0.0,0.0,0.321,0.227,0.0,0.26,0.135,
France-New Caledonia#France#Europe,16.0,0.0,2.833213344056216,0.0,0.0,1.099,0.0,0.511,0.0,0.588,0.201,0.31,0.0,0.065,0.0,0.0,0.0,0.061,
France-Reunion#France#Europe,247.0,0.0,5.5134287461649825,0.0,0.262,0.143,0.659,0.461,0.346,0.102,0.277,0.165,0.194,0.071,0.231,0.0,0.201,0.097,
France-Saint Barthelemy#France#Europe,6.0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.0,0.154,0.0,
France-St Martin#France#Europe,15.0,1.0,2.772588722239781,0.6931471805599453,0.288,0.223,0.0,0.0,0.182,0.405,0.0,0.288,0.0,0.0,0.0,0.0,0.288,0.0,
Gabon-#Gabon#Africa,16.0,1.0,2.833213344056216,0.6931471805599453,0.0,0.0,0.693,0.223,0.182,0.0,0.154,0.0,0.134,0.0,0.0,0.0,0.0,0.754,
Gambia-#Gambia#Africa,4.0,1.0,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.405,0.288,0.0,0.0,0.0,0.0,0.223,0.0,0.0,
Georgia-#Georgia#Asia,110.0,0.0,4.709530201312334,0.0,0.108,0.05,0.071,0.128,0.095,0.12,0.136,0.068,0.051,0.049,0.08,0.011,0.123,0.065,
Germany-#Germany#Europe,71808.0,775.0,11.181765095370302,6.654152520183219,0.286,0.217,0.259,0.113,0.113,0.155,0.127,0.124,0.163,0.147,0.126,0.073,0.074,0.071,
Ghana-#Ghana#Africa,161.0,5.0,5.087596335232384,1.791759469228055,0.0,0.405,0.348,0.163,0.182,0.154,0.657,0.554,0.347,0.037,0.029,0.075,0.0,0.057,
Greece-#Greece#Europe,1314.0,49.0,7.181591944611865,3.912023005428146,0.077,0.0,0.169,0.068,0.163,0.108,0.067,0.1,0.083,0.08,0.094,0.086,0.047,0.081,
Grenada-#Grenada#Americas,9.0,0.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.0,1.386,0.0,0.0,0.223,0.0,0.0,
Guatemala-#Guatemala#Americas,38.0,1.0,3.6635616461296463,0.6931471805599453,0.0,0.357,0.262,0.325,0.105,0.049,0.047,0.128,0.039,0.109,0.188,0.0,0.056,0.053,
Guinea-#Guinea#Africa,22.0,0.0,3.1354942159291497,0.0,0.0,0.0,0.0,0.405,0.0,0.511,0.0,0.0,0.0,0.588,0.0,0.636,0.302,0.0,
Guinea-Bissau-#Guinea-Bissau#Africa,8.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099,0.0,0.0,0.0,0.0,1.099,0.0,
Guyana-#Guyana#Americas,20.0,2.0,3.044522437723423,1.0986122886681098,0.0,0.0,0.0,0.0,0.916,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Haiti-#Haiti#Americas,15.0,0.0,2.772588722239781,0.0,0.0,0.0,1.099,0.0,0.0,0.847,0.134,0.118,0.0,0.0,0.0,0.575,0.0,0.0,
Holy See-#Holy See#Europe,6.0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,0.0,0.0,0.0,0.336,0.0,0.0,0.0,
Honduras-#Honduras#Americas,141.0,7.0,4.955827057601261,2.0794415416798357,0.105,0.262,0.654,0.0,0.077,0.138,0.0,0.177,0.359,0.264,0.33,0.145,0.232,0.014,
Hungary-#Hungary#Europe,492.0,16.0,6.20050917404269,2.833213344056216,0.146,0.227,0.15,0.19,0.238,0.241,0.112,0.189,0.143,0.139,0.134,0.173,0.091,0.096,
Iceland-#Iceland#Europe,1135.0,5.0,7.035268599281097,1.791759469228055,0.127,0.277,0.214,0.145,0.183,0.035,0.097,0.129,0.084,0.104,0.079,0.057,0.063,0.044,
India-#India#Asia,1397.0,35.0,7.242797922793756,3.58351893845611,0.093,0.217,0.228,0.301,0.182,0.231,0.071,0.203,0.101,0.199,0.107,0.037,0.2,0.11,
Indonesia-#Indonesia#Asia,1528.0,136.0,7.332369205929062,4.919980925828125,0.276,0.314,0.17,0.198,0.133,0.119,0.169,0.141,0.122,0.158,0.099,0.107,0.096,0.077,
Iran-#Iran#Asia,44605.0,2898.0,10.705623658107903,7.972121128921655,0.071,0.059,0.065,0.048,0.049,0.063,0.074,0.085,0.085,0.095,0.091,0.079,0.08,0.072,
Iraq-#Iraq#Asia,694.0,50.0,6.543911845564792,3.9318256327243257,0.063,0.157,0.08,0.028,0.085,0.132,0.172,0.09,0.099,0.181,0.099,0.078,0.141,0.097,
Ireland-#Ireland#Europe,3235.0,71.0,8.082093278178382,4.276666119016055,0.269,0.644,0.204,0.139,0.143,0.216,0.167,0.163,0.151,0.154,0.13,0.08,0.107,0.106,
Israel-#Israel#Asia,5358.0,20.0,8.58653266949485,3.044522437723423,0.195,0.339,0.214,0.297,0.215,0.193,0.145,0.649,0.128,0.12,0.176,0.16,0.1,0.132,
Italy-#Italy#Europe,105792.0,12428.0,11.569239633646609,9.42778773074551,0.125,0.139,0.136,0.131,0.099,0.078,0.079,0.073,0.08,0.071,0.067,0.055,0.041,0.039,
