Province_State,Country_Region,Date,ConfirmedCases,Fatalities,D1Confirm,D2Confirm,D1Fatalities,D2Fatalities,DaySince
Alaska,US,5/6/2020,372,10,1,0,1,1,39
Alaska,US,5/7/2020,374,10,2,1,0,-1,40
Alaska,US,5/8/2020,377,10,3,1,0,0,41
Alaska,US,5/9/2020,378,10,1,-2,0,0,42
Montana,US,3/11/2020,1,0,1,1,0,0,-17
Montana,US,3/12/2020,1,0,0,-1,0,0,-16
Montana,US,3/13/2020,1,0,0,0,0,0,-15
Montana,US,3/14/2020,5,0,4,4,0,0,-14
Montana,US,3/15/2020,7,0,2,-2,0,0,-13
Montana,US,3/16/2020,7,0,0,-2,0,0,-12
Montana,US,3/17/2020,9,0,2,2,0,0,-11
Montana,US,3/18/2020,11,0,2,0,0,0,-10
Montana,US,3/19/2020,11,0,0,-2,0,0,-9
Montana,US,3/20/2020,15,0,4,4,0,0,-8
Montana,US,3/21/2020,21,0,6,2,0,0,-7
Montana,US,3/22/2020,34,0,13,7,0,0,-6
Montana,US,3/23/2020,34,0,0,-13,0,0,-5
Montana,US,3/24/2020,51,0,17,17,0,0,-4
Montana,US,3/25/2020,65,0,14,-3,0,0,-3
Montana,US,3/26/2020,90,0,25,11,0,0,-2
Montana,US,3/27/2020,109,1,19,-6,1,1,-1
Montana,US,3/28/2020,129,1,20,1,0,-1,0
Montana,US,3/29/2020,154,1,25,5,0,0,1
Montana,US,3/30/2020,171,5,17,-8,4,4,2
Montana,US,3/31/2020,198,5,27,10,0,-4,3
Montana,US,4/1/2020,208,6,10,-17,1,1,4
Montana,US,4/2/2020,241,6,33,23,0,-1,5
Montana,US,4/3/2020,243,5,2,-31,-1,-1,6
Montana,US,4/4/2020,265,6,22,20,1,2,7
Montana,US,4/5/2020,286,6,21,-1,0,-1,8
Montana,US,4/6/2020,299,6,13,-8,0,0,9
Montana,US,4/7/2020,319,6,20,7,0,0,10
Montana,US,4/8/2020,332,6,13,-7,0,0,11
Montana,US,4/9/2020,354,6,22,9,0,0,12
Montana,US,4/10/2020,365,6,11,-11,0,0,13
Montana,US,4/11/2020,377,6,12,1,0,0,14
Montana,US,4/12/2020,387,6,10,-2,0,0,15
Montana,US,4/13/2020,394,7,7,-3,1,1,16
Montana,US,4/14/2020,399,7,5,-2,0,-1,17
Montana,US,4/15/2020,404,7,5,0,0,0,18
Montana,US,4/16/2020,415,7,11,6,0,0,19
Montana,US,4/17/2020,422,8,7,-4,1,1,20
Montana,US,4/18/2020,426,10,4,-3,2,1,21
Montana,US,4/19/2020,433,10,7,3,0,-2,22
Montana,US,4/20/2020,433,10,0,-7,0,0,23
Montana,US,4/21/2020,437,12,4,4,2,2,24
Montana,US,4/22/2020,439,14,2,-2,2,0,25
Montana,US,4/23/2020,442,14,3,1,0,-2,26
Montana,US,4/24/2020,444,14,2,-1,0,0,27
Montana,US,4/25/2020,445,14,1,-1,0,0,28
Montana,US,4/26/2020,448,14,3,2,0,0,29
Montana,US,4/27/2020,449,14,1,-2,0,0,30
Montana,US,4/28/2020,451,15,2,1,1,1,31
Montana,US,4/29/2020,451,16,0,-2,1,0,32
Montana,US,4/30/2020,453,16,2,2,0,-1,33
Montana,US,5/1/2020,453,16,0,-2,0,0,34
Montana,US,5/2/2020,455,16,2,2,0,0,35
Montana,US,5/3/2020,455,16,0,-2,0,0,36
Montana,US,5/4/2020,455,16,2,2,0,0,37
Montana,US,5/5/2020,456,16,-1,-3,0,0,38
Montana,US,5/6/2020,456,16,0,1,0,0,39
Montana,US,5/7/2020,456,16,0,0,0,0,40
Montana,US,5/8/2020,458,16,2,2,0,0,41
Montana,US,5/9/2020,458,16,0,-2,0,0,42
